Date,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality
2014-01-01,Wheat,Peaty,5.5,16.044317975023777,80.0,4.1209896283606735,60,45,31,28.72353011550643,22.83333333333333
2014-01-02,Wheat,Loamy,6.5,16.074694150473775,80.0,3.933055200412795,77,60,45,50.06652544236726,60.66666666666666
2014-01-03,Wheat,Sandy,6.75,10.402878828830984,80.0,14.649803215052618,55,40,27,2.1518180130853373,35.58333333333333
2014-01-04,Wheat,Peaty,5.5,26.366725790087408,73.6332742099126,10.44092395137165,60,45,31,20.60231825170257,22.83333333333333
2014-01-05,Wheat,Sandy,6.75,17.093197345863008,80.0,7.81546225191,55,40,27,33.69840395636187,35.58333333333333
2014-01-06,Wheat,Peaty,5.5,10.712255571694495,80.0,12.520016129867289,60,45,31,4.598427035828945,22.83333333333333
2014-01-07,Wheat,Loamy,6.5,18.039192701674025,80.0,13.097538378483645,77,60,45,65.58931209911634,60.66666666666666
2014-01-08,Wheat,Saline,8.0,18.82239117662856,80.0,6.6665085617677065,71,55,40,47.1186396895767,13.916666666666666
2014-01-09,Wheat,Saline,8.0,11.678862783477886,80.0,14.080334098744515,71,55,40,7.813979934924675,13.916666666666666
2014-01-10,Wheat,Clay,6.25,11.21546954744202,80.0,7.374763531395647,66,50,36,7.61237563110036,44.33333333333333
2014-01-11,Wheat,Peaty,5.5,18.736840158059007,80.0,9.127923075906873,60,45,31,57.71723263224417,22.83333333333333
2014-01-12,Wheat,Peaty,5.5,16.29861250860741,80.0,7.2870501246867745,60,45,31,36.72058760108772,22.83333333333333
2014-01-13,Wheat,Clay,6.25,13.749386994627445,80.0,13.9031572994869,66,50,36,25.23948522180648,44.33333333333333
2014-01-14,Wheat,Saline,8.0,15.548663195938964,80.0,9.448191533773064,71,55,40,34.09827439683498,13.916666666666666
2014-01-15,Wheat,Peaty,5.5,15.832075743814444,80.0,7.072060575125,60,45,31,31.896207948018123,22.83333333333333
2014-01-16,Wheat,Loamy,6.5,13.874970483148124,80.0,13.622776511290786,77,60,45,36.07498074617968,60.66666666666666
2014-01-17,Wheat,Sandy,6.75,16.335251926742266,80.0,12.203358422350902,55,40,27,35.67265549012927,35.58333333333333
2014-01-18,Wheat,Loamy,6.5,14.878613600540293,80.0,8.334328002613715,77,60,45,37.268108938588014,60.66666666666666
2014-01-19,Wheat,Sandy,6.75,13.133003658117152,80.0,6.479289378963625,55,40,27,19.60078464469299,35.58333333333333
2014-01-20,Wheat,Loamy,6.5,17.028087965701893,80.0,12.145021041403425,77,60,45,67.16883622854955,60.66666666666666
2014-01-21,Wheat,Clay,6.25,25.10200981841056,74.89799018158945,7.780377170609837,66,50,36,29.29381004230727,44.33333333333333
2014-01-22,Wheat,Sandy,6.75,14.799210246778284,80.0,5.707674693645855,55,40,27,28.16769999207429,35.58333333333333
2014-01-23,Wheat,Sandy,6.75,15.29815184960087,80.0,8.059189666883277,55,40,27,32.84653034333146,35.58333333333333
2014-01-24,Wheat,Clay,6.25,24.755171490100096,75.2448285098999,8.230064228756667,66,50,36,37.2486492586407,44.33333333333333
2014-01-25,Wheat,Saline,8.0,16.38284576297464,80.0,8.047859387964731,71,55,40,41.31117915341183,13.916666666666666
2014-01-26,Wheat,Saline,8.0,19.374172191345657,80.0,3.5290580659009807,71,55,40,60.619529625667305,13.916666666666666
2014-01-27,Wheat,Clay,6.25,22.57258781294791,77.42741218705208,12.31924956753258,66,50,36,50.39053810814828,44.33333333333333
2014-01-28,Wheat,Clay,6.25,12.764267688080434,80.0,8.241828694388126,66,50,36,19.797831601526987,44.33333333333333
2014-01-29,Wheat,Saline,8.0,18.15645641630084,80.0,5.33015208760959,71,55,40,42.45278000094411,13.916666666666666
2014-01-30,Wheat,Loamy,6.5,20.719939596010818,79.28006040398918,3.9532016900107054,77,60,45,79.69747189298825,60.66666666666666
2014-01-31,Wheat,Saline,8.0,10.029468834789036,80.0,9.907183008533128,71,55,40,0.1384825312116807,13.916666666666666
2014-02-01,Wheat,Peaty,5.5,21.00206953972213,78.99793046027787,8.029317163085812,60,45,31,44.14648126561298,22.83333333333333
2014-02-02,Wheat,Sandy,6.75,16.51166870881667,80.0,5.02226614483255,55,40,27,33.05098801039392,35.58333333333333
2014-02-03,Wheat,Saline,8.0,23.19470413672095,76.80529586327904,17.87525901886498,71,55,40,40.69553721357155,13.916666666666666
2014-02-04,Wheat,Saline,8.0,12.841021056798969,80.0,7.341872637004979,71,55,40,15.205469074653545,13.916666666666666
2014-02-05,Wheat,Peaty,5.5,10.229691261268387,80.0,7.1391861609409055,60,45,31,1.1241206721405794,22.83333333333333
2014-02-06,Wheat,Sandy,6.75,10.862048896756402,80.0,10.258431649139125,55,40,27,4.459978448407595,35.58333333333333
2014-02-07,Wheat,Loamy,6.5,15.566352052688822,80.0,5.6851660650479,77,60,45,55.310047878314194,60.66666666666666
2014-02-08,Wheat,Saline,8.0,20.93693025782376,79.06306974217625,17.76869092605584,71,55,40,56.044170701205736,13.916666666666666
2014-02-09,Wheat,Saline,8.0,22.00782868757664,77.99217131242337,13.32716214379476,71,55,40,45.019738678431565,13.916666666666666
2014-02-10,Wheat,Sandy,6.75,14.679648499357512,80.0,8.229173549920652,55,40,27,31.13365087073881,35.58333333333333
2014-02-11,Wheat,Loamy,6.5,20.55151180991382,79.44848819008618,6.449781435200406,77,60,45,71.97584233695372,60.66666666666666
2014-02-12,Wheat,Peaty,5.5,15.854159492066486,80.0,13.780622218236516,60,45,31,33.02160212923566,22.83333333333333
2014-02-13,Wheat,Peaty,5.5,11.624108625128091,80.0,9.566443987853448,60,45,31,8.19485240212813,22.83333333333333
2014-02-14,Wheat,Clay,6.25,19.21686311078529,80.0,11.67834722798511,66,50,36,68.12010270397627,44.33333333333333
2014-02-15,Wheat,Sandy,6.75,11.708632783993409,80.0,8.818728050580365,55,40,27,10.295312464437906,35.58333333333333
2014-02-16,Wheat,Sandy,6.75,17.57200468285219,80.0,11.769166278224148,55,40,27,39.8172941203682,35.58333333333333
2014-02-17,Wheat,Loamy,6.5,28.35109948638669,71.64890051361331,12.030899162018612,77,60,45,11.07559666227256,60.66666666666666
2014-02-18,Wheat,Peaty,5.5,20.824285491849885,79.17571450815012,16.26861616508432,60,45,31,42.19912714599098,22.83333333333333
2014-02-19,Wheat,Peaty,5.5,18.74796133015141,80.0,11.8135459790661,60,45,31,52.16862938844629,22.83333333333333
2014-02-20,Wheat,Loamy,6.5,15.877795566617689,80.0,7.715062281585894,77,60,45,52.51566115747902,60.66666666666666
2014-02-21,Wheat,Clay,6.25,28.329621260272308,71.6703787397277,11.264759831843367,66,50,36,12.491581323112168,44.33333333333333
2014-02-22,Wheat,Peaty,5.5,17.55424941619202,80.0,13.044756947365473,60,45,31,41.424110107392856,22.83333333333333
2014-02-23,Wheat,Sandy,6.75,25.48130388201692,74.51869611798308,5.66833126760826,55,40,27,26.46966777199341,35.58333333333333
2014-02-24,Wheat,Saline,8.0,17.34446248722139,80.0,11.542764268053505,71,55,40,45.38413334700355,13.916666666666666
2014-02-25,Wheat,Clay,6.25,23.64689710236032,76.35310289763969,12.677768551343055,66,50,36,37.48688717358101,44.33333333333333
2014-02-26,Wheat,Saline,8.0,29.879083596723547,70.12091640327645,12.75536333182724,71,55,40,0.5784643764520447,13.916666666666666
2014-02-27,Wheat,Clay,6.25,11.576059764412538,80.0,10.778720684440662,66,50,36,11.327148513739294,44.33333333333333
2014-02-28,Wheat,Loamy,6.5,20.5745014591643,79.4254985408357,14.371235876609704,77,60,45,81.89032311065186,60.66666666666666
2014-03-01,Wheat,Loamy,6.5,26.94800197397284,73.05199802602716,6.314204452888574,77,60,45,29.60163858611827,60.66666666666666
